"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"SRP033451"	"Small RNA and gene expression profile in the adult testes of the common marmoset"	"Small RNAs mediate gene silencing by binding Argonaute/Piwi proteins to regulate target RNAs. Here we describe small RNA profiling of the adult testes of Callithrix jacchus, the common marmoset. The most abundant class of small RNAs in the adult testis was piRNAs, while 353 novel miRNAs but few endo-siRNAs were also identified. MARWI, a marmoset homolog of mouse MIWI and a very abundant PIWI in adult testes, associates with piRNAs that show characteristics of mouse pachytene piRNAs. As in other mammals, most marmoset piRNAs are derived from conserved clustered regions in the genome, which are annotated as intergenic regions. However, some of these piRNA cluster regions contain antisense-orientated pseudogenes, suggesting regulation of parental functional protein-coding genes. More piRNAs map to transposable element (TE) subfamilies when they have copies in piRNA clusters. In addition, the strand-bias observed for piRNAs mapped to each TE subfamily correlates with the polarity of copies inserted in clusters. These findings suggest that pachytene piRNA clusters determine the abundance and strand-bias of TE-derived piRNAs, and also regulate protein-coding genes via pseudogene-derived piRNAs. Overall design: small RNA levels in the adult marmoset testis, and MARWI-IP small RNA levels and RNA levels from the adult marmoset testis with two replicates."	"SRA"	"partial"									"GSE52927, PRJNA230495, PMID:24914035"
"SRP116037"	"Identification of genes expressed in a mesenchymal subset regulating prostate organogenesis using tissue and single cell transcriptomics"	"Prostate organogenesis involves epithelial growth in response to inductive signalling from specialised subsets of mesenchyme. To identify regulators and morphogens active in mesenchyme, we performed transcriptomic analysis using Tag-seq, RNA-seq, and single cell RNA-seq and defined new mesenchymal subsets and markers. We documented transcript expression using Tag-seq and RNA-seq in female rat Ventral Mesenchymal Pad (VMP) as well as adjacent urethra comprised of smooth muscle and peri-urethral mesenchyme. Transcripts enriched in VMP were identified in Tag-seq data from microdissected tissue, and RNA-seq data derived from cell populations and single cells. We identified 400 transcripts as enriched or specific to the VMP using bio-informatic comparisons of Tag-seq and RNA-seq data. Comparison with single cell RNA-seq identified transcripts yielded 45 transcriptscommon to both approaches. Cell subset analysis showed that VMP and adjacent mesenchyme were composed of distinct cell types and that each tissue was comprised of two subgroups. Markers for these subgroups were highly subset specific. Thirteen transcripts were validated by qPCR to confirm cell specific expression in microdissected tissues, as well as expression in neonatal prostate. Immunohistochemical staining demonstrated that Ebf3 and Meis2 showed a restricted expression pattern in VMP condensed mesenchyme. Taken together, we demonstrate that the VMP shows limited cellular heterogeneity and that our high-resolution transcriptomic analysis identified new mesenchymal subset markers associated with prostate organogenesis. Overall design: Tag-sequencing, RNA-sequencing and single-cell RNA-sequencing on 2 female inductive mesenchymal tissues of the developing prostate/urogenital tract."	"SRA"	"partial"									"GSE103011,PRJNA399753,PMID: 29180763 (partial because some scRNA-Seq Tag-seq libraries)"
"ERP127795"	"Transcriptional landscape of porcine circulating immune cells"	"Bulk RNA-seq from immune sorted cells and single cell RNA sequencing data from porcine PBMCs were generated to determine the gene expression pattern of porcine immune cells. This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact the FAANG Data Coordination Centre and FAANG consortium (email faang-dcc@ebi.ac.uk and cc faang@iastate.edu) to enquire. The full guidelines can be found at http://www.faang.org/data-share-principle."""	"SRA"	"partial"									"PRJEB43826, PMID: 34249103  (scRNA-Seq libraries annotated in corresponding table)"
"SRP174614"	"Postmortem Cortex Samples Identify Distinct Molecular Subtypes of ALS: Retrotransposon Activation, Oxidative Stress, and Activated Glia"	"Amyotrophic Lateral Sclerosis (ALS) is a fatal neurodegenerative disease characterized by the progressive loss of motor neurons. While several pathogenic mutations have been identified, the vast majority of ALS cases have no family history of disease. Thus, for most ALS cases, the disease may be a product of multiple pathways contributing to varying degrees in each patient. Using machine learning algorithms, we stratified the transcriptomes of 148 ALS postmortem cortex samples into three distinct molecular subtypes. The largest cluster, identified in 61% of patient samples, displayed hallmarks of oxidative and proteotoxic stress. Another 19% of the samples showed predominant signatures of glial activation. Finally, a third group (20%) exhibited high levels of retrotransposon expression and signatures of TARDBP/TDP-43 dysfunction. We further demonstrated that TDP-43 (1) directly binds a subset of retrotransposon transcripts and contributes to their silencing in vitro, and (2) pathological TDP-43 aggregation correlates with retrotransposon de-silencing in vivo. Overall design: RNA-seq analysis of ALS patient samples and individuals without neurological disorders Contributor: NYGC ALS Consortium https://www.nygenome.org/research-areas/neurodegenerative-diseases/als-consortium/ Contributor: The Target ALS Human Postmortem Tissue Core http://www.targetals.org/"	"SRA"	"partial"									"GSE124439, PRJNA512012, PMID:31665631 (partial because non-healthy samples)"
"SRP216705"	"Hemispheric asymmetry in the human brain and in Parkinson's disease is linked to divergent epigenetic patterns in neurons [RNA-seq]"	"Background Hemispheric asymmetry in neuronal processes is a fundamental feature of the human brain and drives symptom lateralization in Parkinson's disease (PD), but its molecular determinants are unknown. Here, we identify divergent epigenetic patterns involved in hemispheric asymmetry by profiling DNA methylation in isolated prefrontal cortex neurons from control and PD brain hemispheres. DNA methylation is fine-mapped at enhancers and promoters, genome-wide, by targeted bisulfite sequencing in two independent sample cohorts. Results We find that neurons of the human prefrontal cortex exhibit hemispheric differences in DNA methylation. Hemispheric asymmetry in neuronal DNA methylation patterns is largely mediated by differential CpH methylation, and chromatin conformation analysis finds that it targets thousands of genes. With aging, there is a loss of hemispheric asymmetry in neuronal epigenomes, such that hemispheres epigenetically converge in late life. In neurons of PD patients, hemispheric asymmetry in DNA methylation is greater than in controls and involves many PD risk genes. Epigenetic, transcriptomic, and proteomic differences between PD hemispheres correspond to the lateralization of PD symptoms, with abnormalities being most prevalent in the hemisphere matched to side of symptom predominance. Hemispheric asymmetry and symptom lateralization in PD is linked to genes affecting neurodevelopment, immune activation, and synaptic transmission. PD patients with a long disease course have greater hemispheric asymmetry in neuronal epigenomes than those with a short disease course. Conclusions Hemispheric differences in epigenetic gene regulation are prevalent in neurons and may affect the progression and symptoms of PD. Overall design: In order to determine whether epigenetic divergence across hemispheres is relevant to hemispheric asymmetry in transcriptional patterns, we used RNA-sequencing to perform a transcriptional analysis in the prefrontal cortex of hemisphere of PD with known side of symptom predominance (n=36 individuals: 13 matched PD hemisphere, 11 unmatched PD hemisphere and controls n=12)"	"SRA"	"partial"									"GSE135036,PRJNA557205,PMID: 32151270 (partial because non-healthy samples)"
"SRP043364"	"Human cortical transcriptome informs brain imaging"	"We carried out RNA-sequencing (RNA-seq) of adult human postmortem neocortical brain tissue, and then correlated those expression values with the fMRI signal in each brain region Overall design: Ten cortical regions were included in the analysis: pre-motor cortex - PMV (BA6), dorsolateral prefrontal cortex - DLPFC (BA9), middle temporal gyrus - pMTG (BA21), superior temporal gyrus - pSTG (BA22), angular gyrus - AG (BA39), supramarginal gyrus - SMG (BA40), pars opercularis - POP (BA44), pars triangularis - PTr (BA45), middle frontal gyrus - MFG (BA46) and pars orbitalis - POrB (BA47). For each brain region, three or more samples from left adult brain hemispheres were collected (ages range from 33 to 49) and only males were included to avoid the effect of sex"	"SRA"	"total"									"GSE58604,PRJNA253002,PMID: 26590343"
"SRP058181"	"mRNA-Seq expression and MS3 proteomics profiling of human post-mortem BA9 brain tissue for Parkinson Disease and neurologically normal individuals"	"Parkinson disease (PD) is a neurodegenerative disease characterized by the accumulation of alpha-synuclein (SNCA) and other proteins in aggregates termed 'Lewy Bodies' within neurons. PD has both genetic and environmental risk factors, and while processes leading to aberrant protein aggregation are unknown, past work points to abnormal levels of SNCA and other proteins. Although several genome-wide studies have been performed for PD, these have focused on DNA sequence variants by genome-wide association studies (GWAS) and on RNA levels (microarray transcriptomics), while genome-wide proteomics analysis has been lacking. After appropriate filters, proteomics identified 3,558 unique proteins and 283 of these (7.9%) were significantly different between PD and controls (q-value<0.05). RNA-sequencing identified 17,580 protein-coding genes and 1,095 of these (6.2%) were significantly different (FDR p-value<0.05), but only 166 of the FDR significant protein-coding genes (0.94%) were present among the 3,558 proteins characterized. Of these 166, eight genes (4.8%) were significant in both studies, with the same direction of effect. Functional enrichment analysis of the proteomics results strongly supports mitochondrial-related pathways, while comparable analysis of the RNA-sequencing results implicates protein folding pathways and metallothioneins. Ten of the implicated genes or proteins co-localized to GWAS loci. Evidence implicating SNCA was stronger in proteomics than in RNA-sequencing analyses. Notably, differentially expressed protein-coding genes were more likely to not be characterized in the proteomics analysis, which lessens the ability to compare across platforms. Combining multiple genome-wide platforms offers novel insights into the pathological processes responsible for this disease by identifying pathways implicated across methodologies. Overall design: The study consists of mRNA-Seq (29 PD, 44 neurologically normal controls) and three-stage Mass Spectrometry Tandem Mass Tag Proteomics (12 PD, 12 neurologically normal controls) performed in post-mortem BA9 brain tissue. The proteomics samples are a subset of the RNA-Seq samples."	"SRA"	"partial"									"GSE68719,PRJNA283498,PMID: 26793951 (partial because non-healthy samples)"
"SRP073813"	"RNA-sequencing of human post-mortem brain tissues"	"RNA-seq profiling was conducted on clinically-annotated human post-mortem brain tissues Overall design: We measured the transcriptome in 281 clinically-annotated human post-mortem brain tissues"	"SRA"	"partial"									"GSE80655,PRJNA319583,PMID: 28754123"
"SRP119808"	"Comparative Transcriptomics across 14 Drosophila Species Reveals Signatures of Longevity"	"Lifespan varies dramatically among species, but the biological basis is not well understood. Previous studies in model organisms revealed the importance of nutrient sensing, mTOR, NAD/sirtuins and insulin/IGF1 signaling in lifespan control. By studying life history traits and transcriptomes of 14 Drosophila species differing more than 6-fold in lifespan, we explored expression divergence and identified genes and processes that correlate with longevity. These longevity signatures suggested that longer-lived flies up-regulate fatty acid metabolism, down-regulate neuronal system development and activin signaling, and alter dynamics of RNA splicing. Interestingly, these gene expression patterns resembled those of flies under dietary restriction and several other lifespan-extending interventions, although on the individual gene level, there was no significant overlap with genes previously reported to have lifespan extension effects. We experimentally tested the lifespan regulation potential of several candidate genes and found no consistent effects, suggesting that individual genes generally do not explain the observed longevity patterns. Instead, it appears that lifespan regulation across species is modulated by complex relationships at the system level represented by global gene expression."	"SRA"	"total"									"PRJNA414017, PMID:29671950"
"SRP100163 "	"The Drosophila Embryo at Single-Cell Transcriptome Resolution"	"By the onset of morphogenesis, Drosophila embryos consist of about 6000 cells that express distinct gene combinations. Here, we used single-cell sequencing of precisely staged embryos and devised DistMap, a computational mapping strategy to reconstruct the embryo and to predict spatial gene expression approaching single-cell resolution. We produce a virtual embryo with about 8000 expressed genes per cell. Our interactive 'Drosophila-Virtual-Expression-eXplorer' (DVEX) database generates three-dimensional virtual in situ hybridizations and computes gene expression gradients. We used DVEX to uncover patterned expression of transcription factors and long noncoding RNAs, as well as signaling pathway components. Spatial regulation of Hippo signaling during early embryogenesis suggests a mechanism for establishing asynchronous cell proliferation. Our approach is suitable to generate transcriptomic blueprints for other complex tissues. Overall design: Single cell transcriptomics of the early Drosophila embryo were generated using Drop-seq"	"SRA"	"partial"									"GSE95025, PRJNA375756, PMID: 28860209 (partial because here only the 2 bulk libraries reported, other are Drop-seq)"
"ERP112945"	"RNA-seq of liver and pyloric caeca in salmon fry before and after initial feeding"	"The salmon fry was sampled at day 0 (before initial feeding) and day 1 (20h after initial feeding). The fish was about 0.2g, liver and pyloric caeca were dissected and used for RNA-seq. Fish was given standard commercial diets with high PUFA."	"SRA"	"total"	"Atlantic salmon ENA data"	16	"TruSeq Stranded mRNA"	"full_length"		"PRJEB30483"		"https://www.sciencedirect.com/science/article/pii/S0044848618321161"	"E-MTAB-7312"
"ERP117343"	"RNAseq of farmed and wild Atlantic salmon fed vegetable oil or fish oil or phospholipid diet from first feeding "	"Farmed and wild Atlantic salmon was given either vegetable oil (low DHA and EPA) feed or fish oil (high in DHA and EPA) feed or phospholipid (high in phospholipid) feed from start of feeding. We sampled and RNAseq two tissues (pyloric caeca and liver) on day 0, day 48, day 65 and day 94 after initial feeding."	"SRA"	"total"	"Atlantic salmon ENA data"	144	"TruSeq Stranded mRNA"	"full_length"		"PRJEB34437"	32293070	"https://onlinelibrary.wiley.com/doi/10.1111/mec.15446"	"E-MTAB-8306"
"SRP131761"	"Spatial and single-cell transcriptional profiling identifies functionally distinct human dermal fibroblast subpopulations"	"Fibroblasts synthesize the extracellular matrix of connective tissue and play an essential role in maintaining tissue integrity. We have previously shown that mouse skin connective tissue, the dermis, is comprised of functionally distinct fibroblast lineages. However, the extent of fibroblast heterogeneity in human skin is unknown. Here, using a combination of spatial transcriptional profiling of human and mouse dermis and single cell transcriptional profiling of human dermal fibroblasts, we show that there are at least four distinct fibroblast populations in adult human skin. We define markers permitting prospective isolation of these cells and show that although marker expression is rapidly lost in culture, different fibroblast subpopulations retain distinct functionality in terms of Wnt signalling, T cell communication and the ability to support human epidermal reconstitution in organotypic culture. Furthermore, while some fibroblast subpopulations are spatially segregated, others are not. These findings have profound implications for normal wound healing and diseases characterized by excessive fibrosis, and suggest that ex vivo expansion or in vivo ablation of specific fibroblast subpopulations may have therapeutic applications. Overall design: Spatial RNA sequencing of human papillary versus reticular dermis for 3 individuals, and single cell RNA sequencing of dermal fibroblasts for a single individual."	"SRA"	"total"	"HCA"								"GSE109822,PRJNA432084,PMID: 29391249 (single-cell libraries in corresponding table)"
"ERP106308"	"GenoSysFat 1: Salmon feed-switch experiment vegetable ? fish oil 2015-2016"	"This experiment is designed to pinpoint where in the metabolic network there are differences between salmon on different diets. Analyses of this material will help inform feeding and breeding strategies. Salmon were reared on feeds with contrasting levels of very-long-chain polyunsaturated fatty acids. Then some fish were crossed over to the other diet while others remain as controls. This perturbation of diet should provoke changes in omega-3 metabolism that are evident in RNA expression, protein expression and eventually in the fatty acid composition of tissues. We also hypothesize that gut microbiota may be affected and/or modulate the effect of the feed switch. A dietary switch experiment in fresh- and seawater will provide data for a rich phenotypic characterization of the metabolic steady states under different diets. The outcome (the effects of diet and environment interactions) will form the fundamental basis for systems biology analyses and represent a valuable metabolic reference database for future studies."	"SRA"	"total"	"Atlantic salmon ENA data"	375				"PRJEB24480"		"https://fairdomhub.org/studies/144"	
"SRP181218"	"Conservation, acquisition, and functional impact of sex-biased gene expression in mammalian tissues"	"Sex differences are widespread in human health and disease, which are frequently modeled in other mammalian species. However, the extent to which molecular sex differences are conserved across both tissues and species remains unclear. We conducted a 12-tissue, five-species survey of sex differences in gene expression using both publicly available (human) and newly generated (cynomolgus macaque, mouse, rat, and dog) RNA sequencing data. In each of the tissues assessed, we identified between 128 and 805 genes with conserved sex-biased expression. However, most sex bias in gene expression (~77%) - both female and male - has arisen since the last common ancestor of boroeutherian mammals, likely facilitated by reduced selective constraint. Evolutionary gains and losses of regulation by sex-biased transcription factors drove a significant fraction (~27%) of lineage-specific changes in sex bias. Our study suggests caution in the use of other species as models of human sex differences, and that similar selective pressures have driven sex-biased gene expression both within and outside the reproductive tract. Overall design: Tissue transcriptomes from 12 tissues and 4 species, 3 males and 3 females per species (before removal of outliers) were sequenced and compared for sex differences"	"SRA"	"total"									"PRJNA516470, GSE125483"
"SRP045429"	"mRNA sequence data of individual Drosophila melanogaster male and female flies from 16 Drosophila Genetic Reference Panel lines reared in replicated environments"	"Our primary objective was to characterize the amount of variation in transcript abundance among individual flies with identical genotypes. We also wanted to determine which analysis methods would be optimal for RNA-Seq data. To meet these objectives, we performed transcriptional profiling of whole adult individuals from 16 Drosophila Genetic Reference Panel (DGRP) lines. We quantified differential expression among genotypes, environments, and sexes. Overall design: We randomly chose 16 DGRP lines for this experiment: DGRP-93, DGRP-229, DGRP-320, DGRP-352, DGRP-370, DGRP-563, DGRP-630, DGRP-703, DGRP-761, DGRP-787, DGRP-790, DGRP-804, DGRP-812, DGRP-822, DGRP-850, and DGRP-900. We collected 8 virgin male and 8 virgin female flies from the 16 DGRP genotypes in three replicated environments to produce RNA sequence profiles. We controlled the environmental conditions in the following ways. We seeded the fly cultures with 5 male and 5 female parents. We reared the progeny in a single incubator on standard Drosophila food (http://flystocks.bio.indiana.edu/Fly_Work/media-recipes/bloomfood.htm) at 25°C, 60% humidity, and a 12:12-hour light:dark cycle. We collected and maintained male and female virgins at 20 flies to a same-sex vial for four days prior to RNA extraction to control for social exposure. Flies were frozen for RNA extraction at the same circadian time (1:00 pm) in 96-well plates. PolyA RNA stranded libraries were prepared by modifying an existing protocol. ERCC (External RNA Controls Consortium, SRM2374, beta version, pools 78A/78B) sequences were added during the library preparation as a control. For some samples >1 library was generated to check technical variation. We performed multiplexed single-end 76 bp sequencing on an Illumina HiSeq2000. Reads were mapped to FlyBase release 5 version 57 and release 6 version 01 of the Drosophila melanogaster genome and the ERCC sequences. Mapped reads were counted at the gene level."	"SRA"	"total"									"GSE60314,PRJNA258012,PMID: 27770026"
"ERP132575"	"RNA-Seq of chimpanzee (Pan troglodytes), gorilla (Gorilla gorilla), gibbon (Hylobates lar) and marmoset (Callithrix jacchus) adult testis"	"RNA sequencing (RNA-seq) was used to annotate chimpanzee, gorilla, gibbon, and marmoset genome and transcript isoforms in adult testis. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"ENA"	"total"		7	"TruSeq Stranded mRNA"	"full_length"		"PRJEB48233"	"PMID: 36544022"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9834047/"	"E-MTAB-11074"
"ERP105420"	"RNA-seq of adipose tissue from pigs divergent in feed efficiency reveals variations in adipose growth, extracellular matrix formation, lipid metabolism and immune response"	"Feed efficiency (FE) is an indicator of efficiency in converting energy, attained from macronutrient ingestion, into tissue. Adipose tissue, besides being a master regulator of systemic lipid storage, is also an active endocrine organ that communicates with skeletal muscle, liver and brain to influence appetite, lipid & glucose metabolism and energy homeostasis. Adipose tissue is hypothesised to play a vital part in regulation of FE. The objective of the present study was to sequence the subcutaneous adipose tissue transcriptome in FE-divergent pigs (n=16) and identify relevant biological processes underpinning observed differences in FE."	"ENA"	"total"	"FAANG, PigGTEx"	16	"TruSeq Stranded mRNA"	"full_length"		"PRJEB23654"	"PMID: 30483895"	"https://pubmed.ncbi.nlm.nih.gov/30483895/"	"E-MTAB-6255, this experiment uses same individuals as those in ERP105028/E-MTAB-6174 but other tissues"
"SRP234425"	"A single cell transcriptome atlas of myeloid blood cell lineages in Drosophila [bulk RNA-seq]"	"The Drosophila lymph gland (LG) is the larval hematopoietic organ comprised of multipotent prohemocytes and mature hemocytes and has been a valuable model for understanding mechanisms underlying the hematopoiesis and immune responses. There are three types of mature hemocytes in the lymph gland; plasmatocytes, lamellocytes, and crystal cells, all of which are analogous to myeloid-lineage blood cells. To date, the Drosophila hematopoietic system has been primarily defined by classical genetic methods that may limit the promise of its advantage as a model. In this study, we used single-cell RNA sequencing method to comprehensively profile the heterogeneity of developing myeloid hemocytes in the wild-type lymph gland and their transitions upon active immunity caused by wasp infestation. Moreover, we compared hemocytes originated from the embryonic and the lymph gland hematopoiesis and unraveled genetic and cellular diversity of two different ancestries. Finally, hemocytes of the Drosophila lymph gland and human immune cells are contrasted at a transcriptome level, highlighting evolutionary conservations of myeloid cells across species. Overall, our single-cell RNA seq analyses disclose the development of myeloid hemocytes at a single-cell level and provide comparative insights into two different lineages of hemocytes in Drosophila and perspectives on the evolution of myeloid cells, serving as an ample resource for revealing essentials of the hematopoiesis. Overall design: Single-cell RNA-sequencing of Drosophila larvae LGs under normal or wasp infested states using Drop-seq"	"SRA"	"total"		3		"full_length"	"GSE141274"	"PRJNA592993"	"PMID: 32900993"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7479620/"	"GSE141274,PRJNA592993,PMID: 32900993"
"SRP446003"	"Cell Type- and Tissue-specific Enhancers in Craniofacial Development [mouse RNA]"	"The genetic basis of craniofacial birth defects and general variation in human facial shape remains poorly understood. Distant-acting transcriptional enhancers are a major category of non-coding genome function and have been shown to control the fine-tuned spatiotemporal expression of genes during critical stages of craniofacial development. However, a lack of accurate maps of the genomic location and cell type-specific in vivo activities of all craniofacial enhancers prevents their systematic exploration in human genetics studies. Here, we combined transcriptome, histone modification, and chromatin accessibility profiling from different stages of human craniofacial development with single-cell analyses of the developing mouse face to create a comprehensive catalogue of the regulatory landscape of facial development at tissue- and single cell-resolution. In total, we identified approximately 14,000 enhancers across seven developmental stages from weeks 4 through 8 of human embryonic face development. To annotate the cell type specificity of human-mouse conserved enhancers, we performed single-cell RNA-seq and single-nucleus ATAC-seq of mouse craniofacial tissues from embryonic days e11.5 to e15.5. By integrating across these data sets, we identify major cell populations of the developing face and annotate over 16,000 candidate enhancers by their cell type-specific epigenomic profile. Using retrospective analysis of known craniofacial enhancers in combination with single cell-resolved transgenic reporter assays, we show the value of these data for the prediction of in vivo cell type specificity. Taken together, our data provide a critical resource for genetic and developmental studies of human craniofacial development. Overall design: We combined transcriptome, histone modification, and chromatin accessibility profiling from different stages of human craniofacial development with single-cell analyses of the developing mouse face to create a comprehensive catalogue of the regulatory landscape of facial development at tissue- and single cell-resolution."	"SRA"	"total"		4	"TruSeq Stranded Total RNA"	"full_length"	"GSE235752"	"PRJNA987709"	"PMID: 37425964"	"https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/37425964/"	"PMID:37425964 is a NIH Preprint Pilot publication at time of annotation, see also https://pubpeer.com/publications/E2186F4B3FC667AFB29370F1A0EF69#1"
"ERP143068"	"PIG transcriptome and gene expression"	"RNA sequencing of pig tissues for transcritpome annotation and expression analysis.This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact the FAANG Data Coordination Centre and FAANG consortium (email faang-dcc@ebi.ac.uk and cc faang@iastate.edu) to enquire.The full guidelines can be found at http://www.faang.org/data-share-principle."	"ENA"	"total"	"FAANG, GENE-SWitCH (pig)"	900	"TruSeq Stranded mRNA"	"full_length"		"PRJEB58031"	"PMID: 37354463"		"info strain and info sex from https://data.faang.org/specimen"
"SRP445933"	"Cell Type- and Tissue-specific Enhancers in Craniofacial Development [human RNA]"	"The genetic basis of craniofacial birth defects and general variation in human facial shape remains poorly understood. Distant-acting transcriptional enhancers are a major category of non-coding genome function and have been shown to control the fine-tuned spatiotemporal expression of genes during critical stages of craniofacial development. However, a lack of accurate maps of the genomic location and cell type-specific in vivo activities of all craniofacial enhancers prevents their systematic exploration in human genetics studies. Here, we combined transcriptome, histone modification, and chromatin accessibility profiling from different stages of human craniofacial development with single-cell analyses of the developing mouse face to create a comprehensive catalogue of the regulatory landscape of facial development at tissue- and single cell-resolution. In total, we identified approximately 14,000 enhancers across seven developmental stages from weeks 4 through 8 of human embryonic face development. To annotate the cell type specificity of human-mouse conserved enhancers, we performed single-cell RNA-seq and single-nucleus ATAC-seq of mouse craniofacial tissues from embryonic days e11.5 to e15.5. By integrating across these data sets, we identify major cell populations of the developing face and annotate over 16,000 candidate enhancers by their cell type-specific epigenomic profile. Using retrospective analysis of known craniofacial enhancers in combination with single cell-resolved transgenic reporter assays, we show the value of these data for the prediction of in vivo cell type specificity. Taken together, our data provide a critical resource for genetic and developmental studies of human craniofacial development. Overall design: We combined transcriptome, histone modification, and chromatin accessibility profiling from different stages of human craniofacial development with single-cell analyses of the developing mouse face to create a comprehensive catalogue of the regulatory landscape of facial development at tissue- and single cell-resolution."	"SRA"	"total"		10	"TruSeq Stranded Total RNA"	"full_length"		"PRJNA987551"	"PMID: 37425964"	"https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/37425964/"	
"SRP315595"	"Social boldness correlates with brain gene expression in male green anoles"	"Our study focuses on constitutive gene expression in bold and shy individuals by isolating baseline gene expression profiles that influence social boldness predisposition, rather than those reflecting the results of social interaction and behavioral execution. We performed this study on male green anole lizards (Anolis carolinensis), an established model organism for behavioral research, which provides a crucial comparison group to investigations of birds and mammals."	"SRA"	"total"		49				"PRJNA723338"	"PMID: 34102460"	"https://pubmed.ncbi.nlm.nih.gov/34102460/"	
"SRP247891"	"RNAseq data of 2 fish species and 2 reptiles"	"Individually indexed RNAseq data from liver, testis and ovary tissue of 4 different species (reptiles: Anolis carolinensis, Sceloporus undulatus; fish: Astyanax mexicanus and Clupea harengus)."	"SRA"	"partial"		3				"PRJNA605699"			"7 other libraries not annotated because species not in bgee yet"
"SRP102989"	"RNA-seq data from somatic tissues and gonads from Anolis, human, mouse, opossum, platypus, chicken and xenopus Raw sequence reads"	"RNA-seq data from somatic tissues and gonads from Anolis, human, mouse, opossum, platypus, chicken and xenopus Raw sequence reads"	"SRA"	"total"		185	"TruSeq Stranded mRNA"	"full_length"	"GSE97367"	"PRJNA381064"	"PMID: 29133310"	"http://genome.cshlp.org/lookup/pmidlookup?view=long&pmid=29133310"	
"SRP470937"	"Danio rerio Raw sequence reads"	"normal RNAseq of zebrafish"	"SRA"	"total"		18				"PRJNA1036532"			"no PMID, really not a lot of info on this experiment outside of SRA info"
"ERP121186"	"RNA-seq of tissue panel samples from zebrafish (Danio rerio), medaka (Oryzias latipes), and rainbow trout (Oncorhynchus mykiss)"	"The aim of this sequencing experiment was to make available tissue expression panels for selected fish species for comparative expression studies between the species. Tissue samples were collected for zebrafish (Danio rerio), medaka (Oryzias latipes), and rainbow trout (Oncorhynchus mykiss). Tissue types included liver, skin, muscle, heart, gut, gill, eye, brain for all three species, with additionally pyloric caeca, kidney, head kidney, and spleen for rainbow trout. Only liver samples were taken in replicate of four or three for rainbow trout. All fish were raised under standard rearing conditions for the species. Total RNA was extracted from the tissue samples and paired‐end sequencing of sample libraries was completed on an Illumina HiSeq 2500 with 125‐bp reads. Processed count tables per species as raw counts, FPKM, or TPM, were generated from read alignment to the Ensembl genomes of the respective species using STAR and gene level counting using RSEM and Ensembl gene annotation."	"ENA"	"partial"		22	"TruSeq Stranded mRNA"	"full_length"		"PRJEB37848"	"PMID: 33849620"	"https://pubmed.ncbi.nlm.nih.gov/33849620/"	"does not include annotations for rainbow trout (Oncorhynchus mykiss)"
"SRP218855"	"Transcriptome profiling of medaka timecourse embryonic samples and adult tissues samples."	"We collected ten embryonic stages covering cleavage, blastula, gastrula, somite, and late stages until hatching. We also collected two adult tissue samples, including ovary and testis. 13 samples were sequenced using the illumina short-read sequencing platform. Overall design: Total RNA was extracted from medaka whole embryo samples of 11 developmental stages and 2 adult tissues. Short-read strand-specific library was constructed and sequenced using Illumina platform."	"SRA"	"total"		24	"TruSeq Stranded mRNA"	"full_length"	"GSE136018"	"PRJNA560946"	"PMID: 32591361"	"https://pubmed.ncbi.nlm.nih.gov/32591361/"	"paper only mentions platform HiSeq X Ten but GEO and SRA both include Illumina HiSeq 2000 for some samples, left as stated in GEO/SRA"
