"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"
"SRP067001"	"Sequence-based association analysis reveals an eQTL with pleiotropic effects on bovine milk composition"	"Identifying variants from WGS affecting milk composition in Bos Taurus"	"SRA"	"partial"	"NA"	"NA"
"SRP075939"	"Bos taurus Transcriptome or Gene expression"	"Functional confirmation of PLAG1 causative gene underlying major pleiotropic effects on liveweight and milk characteristics"	"SRA"	"total"	"NA"	"NA"
"SRP081047"	"Host mechanisms potentially associated with foodborne pathogen Escherichia coli O157 shedding in feedlot beef cattle"	"Cattle shedding > 10e4 CFU of Escherichia coli O157 per g of feces are defined as super-shedders. RNA-sequencing was performed to identify the transcriptome of tissues, including duodenum, proximal jejunum, distal jejunum, distal jejunum, cecum, spiral colon and descending colon of super-shedder cattle in comparison with non-shedders. The total number of genes detected in gut tissues ranged from 16,846 Â± 639 (cecum) to 18,137 Â± 696 (distal jejunum), and immune functions were enriched for the transcriptomes of small intestinal tissues, reflecting their greater immune activity than large intestine. Totally 351 differentially expression genes were identified between super-shedders and non-shedders, including 101 up-regulated and 250 down-regulated in super-shedders. Differential gene expression analysis suggested increased T-cell responses and cholesterol absorption in distal jejunum and descending colon, and inhibited B-cell maturation in intestines of super-shedders. distal jejunum of super-shedders. Our findings suggested that host genetics and E. coli O157 activities are involved in super-shedding phenomenon. Overall design: We performed a differential analysis of transcriptomes of gut tissues collected from E. coli O157 super-shedders and non-shedders (control), to study molecular mechanisms of super-shedding phenomenon. It is a case control study."	"SRA"	"partial"	"GSE85277"	"NA"
"SRP074883"	"Bos grunniens x Bos taurus isolate:cattleyak 1 Raw sequence reads"	"Cattleyak exhibits equivalent adaptability to harsh environment as yak and much higher performances than yak. However, F1 male infertility of cattleyak due to spermatogenic arrest greatly restricts their effective utilization in yak breeding. we examined transcriptomic differences between the testis of cattleyak and yak with the aims to bring insight into mechanisms for male infertility of cattleyak."	"SRA"	"total"	"NA"	"NA"
"SRP074994"	"Bos grunniens x Bos taurus isolate:C2 Raw sequence reads"	"Cattleyak exhibits equivalent adaptability to harsh environment as yak and much higher performances than yak. However, F1 male infertility of cattleyak due to spermatogenic arrest greatly restricts their effective utilization in yak breeding. we examined transcriptomic differences between the testis of cattleyak and yak with the aims to bring insight into mechanisms for male infertility of cattleyak."	"SRA"	"total"	"NA"	"NA"
"SRP075157"	"Bos grunniens x Bos taurus isolate:C3 Raw sequence reads"	"Cattleyak exhibits equivalent adaptability to harsh environment as yak and much higher performances than yak. However, F1 male infertility of cattleyak due to spermatogenic arrest greatly restricts their effective utilization in yak breeding. we examined transcriptomic differences between the testis of cattleyak and yak with the aims to bring insight into mechanisms for male infertility of cattleyak."	"SRA"	"total"	"NA"	"NA"
"SRP083944"	"Reduced representation bisulphite sequencing of ten bovine somatic tissues reveals DNA methylation patterns and their impacts on gene expression [RNA-Seq]"	"As a key epigenetic modification, DNA methylation is essential for normal development by regulating processes like gene expression, genomic imprinting, and suppression of repetitive elements. However, DNA methylation in the cattle genome is not well understood. Here we presented the first single-base-resolution maps of DNA methylation in 10 diversely somatic tissues harvested from the sequenced Hereford cow L1 Dominette 01449 and her relatives using reduced representation bisulphite sequencing (RRBS). In total, we observed 1,868,049 high accuracy cytosines that located in the CG enriched regions. Similar to the methylation patterning in other species, the CG context was predominant methylated. Widespread differences were identified between the methylation patterns of CG and non-CG contexts. They were distributed differentially among the genomic features, including the genic regions, CpG islands, and repetitive sequences. Autocorrelation analysis among adjacent residues illustrated that methylation level of CGs were highly correlated in a region. In contrast, weak or no correlation was found among non-CGs or between CGs and non-CGs. The distinct distribution and low correlation of CG and non-CG methylation suggested that non-CG methylation may be independent from CG methylation and may be mediated by different mechanisms. We also detected 798 tissue-specific differentially methylated cytosines (tDMC) and 131 tissue-specific differentially methylated CpG islands. Combined analysis with the RNA-seq data, we discovered several non-CGs in tDMCs also highly correlated with gene expression, which implied the potential function of non-CG methylation in somatic cells in addition to pluripotent cells. In summary, we showed that non-CGs exist in bovine tissues and some of them were correlated with tissue-specific functions. This study provided essential information for the cytosine methylation patterning in bovine somatic tissues. Overall design: We applied RNA_seq for 8 different tissues to detect the effects of methylation on gene expression."	"SRA"	"total"	"GSE86323"	
"SRP070110"	"Bos taurus breed:Angus Raw sequence reads"	"RNA-seq of beef steers from feed efficiency study"	"SRA"	"total"	"NA"	"NA"
"SRP068653"	"Multi-tissue RNA-seq data across three species"	"We performed mRNA-seq on 27 samples from the three tissues (heart, liver and kidney) across three species (cattle, sheep, goat) Overall design: mRNA-seq on 27 samples from the three  tissues (heart, liver and kidney) across three species (cattle, sheep, goat)"	"SRA"	"partial"	"NA"	"NA"
"SRP073720"	"RNA-Seq results of four Chinese cattle from longissimus muscles based on Illumina HiSeq 2000 platform"	"Purpose: The goals of this study are to identify the molecular mechanism by which NA improves meat quality and find differentially expressed genes in longissimus muscles between cattle treated with/without dietary NA. Methods: gene expression profiles of longissimus muscle from 4 cattle mRNA pools including 6 control and 6 NA treated cattle were generated by single-end sequencing (50 bp), using Illumina HiSeqâ„¢ 2000. The sequence reads that passed quality control were analyzed at the transcript isoform level with TopHat followed by Cufflinks. Results: Using SOAPaligner (V2.21) analysis, we mapped about 23,359,272-25,165,811 clean reads per sample to the bovine reference genome assembly (unmasked genomic DNA sequences: Bos_taurus.UMD3.1.75.dna.chromosome.1-29 and X) (ftp://ftp.ensembl.org/pub/release-75/fasta/bos_taurus/dna/). Our NOISeq analysis identified a list of 124 differentially expressed genes with a probability value = 0.8 and an absolute value of log2 Ratio of NA to Control = 1. Conclusions: In our study, dietary NA increases the IMF content of longissimus muscle may through up-regulating the expressions of genes and pathways related to lipid metabolism. Overall design: Four mRNA profiles of 6 control and 6 NA treated cattle were generated by single-end sequencing (50 bp), using Illumina HiSeqâ„¢ 2000."	"SRA"	"partial"	"NA"	"NA"
"SRP021901"	"yak(Bos grunniens) Transcriptome or Gene expression"	"Transcriptome analysis of yak oocytes development."	"SRA"	"partial"	"NA"	"NA"
"SRP066548"	"Bos taurus Transcriptome or Gene expression"	"During their early lactation, dairy cows experience a severe metabolic load often resulting in the development of various diseases. In this study, we used RNA-seq to identify novel factors crucial for the metabolic adaptation by comparing hepatic expression profiles of cows before and after parturition."	"SRA"	"total"	"NA"	"NA"
"SRP066556"	"Bos taurus liver transcriptome: diet effects"	"Evaluation of transcriptomic changes occuring in bovine liver after variation in diet components"	"SRA"	"total"	"NA"	"NA"
"SRP066644"	"Bos taurus Raw sequence reads"	"Transcriptome adaptation of the bovine mammary gland to diets rich in unsaturated fatty acids shows greater impact of linseed oil over safflower oil on gene expression and metabolic pathways"	"SRA"	"total"	"NA"	"NA"
"SRP070691"	"RNA sequencing reveals differential expression of genes associated with an altered morphology of rumen papillae in lactating dairy cows fed diets with various forage sources"	"Total RNA from rumen epithelial tissues of cows fed alfalfa hay (AL),Rice straw (RS) or Corn stover (CS)diet were sequenced using Illumina Hiseq 2000 system. For comparative analysis, differentially expressed genes were identified with edgeR. Overall design: We performed a differential analysis of transcriptomes of rumen epithelial tissues collected from cows fed AL, RS or CS diets, to study molecular mechanisms of forage source changing rumen papillae thickness and shape."	"SRA"	"total"	"NA"	"NA"
"SRP072500"	"Comparison of crossbred and purebred cattle by bioinformatics analysis of differentially expressed transcripts"	"Background: Transcriptomic variation among cattle breeds and their crossbreds may help to better understanding of consequences of crossbreeding and heterosis. In this study the differences in biological functions and pathways of three crossbreds including 50 and 75 percent Holstein were compared with their purebred parents, Holstein and Taleshi (an indigenous breed) cattle. Results: Five populations and their ten comparisons were studied by bioinformatics tools for transcriptome analysis. We pooled blood RNA of at least 8 animals of each population prior to RNA sequencing. The obtained results showed that total expressed transcripts in all populations were 72,812 with 22,627 annotated genes. Functional analysis of differentially expressed genes (DEGs) showed that the genetics information processing and metabolism were the most highly-impacted pathways. Among all significantly enriched pathways, eukaryotic translation initiation factor-2 signaling had the highest activation z-score (5.3) in crossbred compared to purebred cattle. The majority of upstream regulators of genes including transcription regulators and cytokines were differentially expressed among populations in which their activation z-score in purebred was more than crossbred cattle. Conclusions: Crossing of Holstein with Taleshi breed resulted in higher activity of pathways related to genetic information processing and lower activity of pathways related to immunity and inflammatory responses. To the best of our knowledge, this is the first study where the differences in pathways and functions were studied using high throughput sequencing of blood in a cattle crossbreeding program. The analysis revealed that the most important differences between studied genotypes, especially between purebred and crossbred cattle, were related to immune functions and metabolism. Overall design: the blood transcriptome of five cattle populations including two purebreds and the three crossbreds of them. Please note that three crossbreds have different parents and different blood share of their purebred parents; 50CSN is 50 percent crossbred sire Iran native cattle and dam Holstein, 50CSH is 50 percent crossbred sire Holstein and dam Iran native cattle, and 75C is 75 percent Holstein and 25 percent Iran native cattle."	"SRA"	"total"	"NA"	"NA"
"SRP089739"	"The developmental transcriptome profiling reveals an abundant GosB that regulates cell cycle, proliferation and apoptosis"	"Background: In bovines, the development and growth of skeletal muscle involves many physiological processes and plays an extremely important role in the quality of beef, however, the regulatory mechanisms underlying the differences in meat quality are largely unknown. Therefore, a cattle muscle transcriptome analysis was performed to compare gene expression profiles between embryonic stage and adult stage. Results: Total RNAs from the Qinchuan cattle skeletal muscle at fetal and adult stages were used to construct libraries for Illumina next-generation sequencing using Ribo-Zero RNA sequencing (RNA-Seq) method. We found a total of 19,695 genes were expressed in the embryo and adult, and 3,299 and 433 genes were present only in the embryo and adult, respectively. Over 5,000 unigenes were significantly different (P < 0.05) when comparing fetal and adult patterns. We further characterized GosB, which was abundant in skeletal muscle, as the candidate gene to explore its role in cattle development. GosB increased the number of C2C12 myoblasts in S phase, and decreased the proportion of cells in G0/G1 phase. GosB promoted proliferation and protect the C2C12 cells from apoptosis via regulating Bcl-2 expression and controlling the intracellular calcium concentration. Conclusions: Modulation of GosB expression in muscle tissue may emerge as potent tool to control myoblast number in the cattle. Overall design: Six longissimus muscle samples from Qinchuan cattles of two developmental states (embryonic, 90 d; and adult, 24 M old) were collected from Yiming abattoir, a local slaughterhouse of Xiâ€™An, P.R. China."	"SRA"	"total"	"NA"	"NA"
"SRP092050"	"RNA-seq analysis of differential gene expression in rumen papillae from Holstein Friesian bulls undergoing diet restriction and compensatory growth"	"The objective of this study was to examine the effect of dietary restriction and subsequent re-alimentation induced compensatory growth on the global gene expression profile of ruminal epithelial papillae. Holstein Friesian bulls (n=38) were assigned to one of two groups: restricted feed allowance (RES; n=19) for 125 days (Period 1) followed by ad libitum access to feed for 55 days (Period 2) or (ii) ad libitum access to feed throughout (ADLIB; n=19).  All bulls received the same diet of 70% concentrate 30% grass silage through out the experimental trial,with the amount of feed provided different dependent on each treatment group. At the end of Period 1, 9 animals from each treatment group were slaughtered, with 10 animals from each treatment slaughtered at the end of Period 2. Rumen epithelium was collected from all animals within thirty minutes of slaughter. RNA was extracted and rumen epithelium gene expression was examined using RNAseq technology on all samles collected (end of Period 1: 9 samples each from ADLIB and RES groups; end of Period 2: 10 samples each from ADLIB and RES groups). Genes identified as differentially expressed in response to both dietary restriction and subsequent compensatory growth included those involved in processes such as cellular interactions and transport, protein folding and gene expression, as well as immune response. This information can be exploited in genomic breeding programmes to assist selection of cattle with a greater ability to compensate following a period dietary restriction. Overall design: 38 rumen epithelium RNA samples were analyzed in total. Purebred Holstein Friesian bulls were assigned to one of two feeding treatments (i) restricted feed allowance for 125 days (n=9) followed by ad libitum access to feed for a further 55 days (n=10) or (ii) a control group with ad libitum access to feed through out the 180 days trial (n=19).  The first 125 days of the trial were denoted as Period 1, during which treatment groups were fed differentially. The subsequent 55 days, denoted as Period 2 during which all bulls were fed ad libitum. All bulls received the same diet of 70% concentrate 30% grass silage through out the experimental trial, with the amount of feed provided different dependent on each treatment group. Restricted fed animals were fed to grow at 0.6 kg /day during Period 1, with ad libitum animals expected to gain in excess of 1.5 to 2 kg/day."	"SRA"	"total"	"NA"	"NA"
"SRP095120"	"RNA-Seq transcriptomics and pathway analyses reveal potential regulatory genes and molecular mechanisms in high- and low-feed efficient Nordic dairy cattle"	"The study investigated gene expression patterns in liver tissue to understand the biological functions of genes that are potentially involved in controlling / regulating feed efficiency in Nordic dairy cattle. Overall design: Comparison of liver transcriptome from 2 cattle breeds (Holstein and Jersey), 2 levels of feed efficiency (FE) (High and low), 2 types of feed diet (Control (C) and High concentrate diet (HC)).  Within each breed, there are 5 High FE and 5 Low FE cows.  Notes: each of the animals received both of the diet (C and HC) after conditioning period (14 to26 days intervals). One cow from Holstein was dropped from the study because of the unsuccessful liver biopsy sampling."	"SRA"	"total"	"NA"	"NA"
"SRP097223"	"Comparative transcriptomic analysis provides insights into high-altitude adaptation"	"Purpose: High-altitude adaptive evolution of transcription, and the convergence and divergence of transcriptional alteration across species in response to high-altitude environments, is an important topic of broad interest to the general biology community. Our study aims to answer this important biological question. Methods: We generated deep transcriptome data of high- and low- altitude populations across four species: chicken, pig, goat and sheep, as well as high-altitude yak and low-altitude cattle, from six tissues (heart, kidney, liver, lung, skeletal muscle and spleen). Results: Here we provide a comprehensive comparative transcriptome landscape of expression and alternative splicing variation between low- and high-altitude populations across multiple species for distinct tissues. Conclusions: Our data serves a valuable resource for further study on adaptive transcription evolution and identification of candidate adaptive genes. Overall design: RNA-seq data from 138 samples derived from six tissues (heart, kidney, liver, lung, skeletal muscle and spleen) of three unrelated adult females for each of five animals (chicken, pig, cattle/yak, sheep and goat) from high- and low-altitude regions."	"SRA"	"partial"	"Five species, among them Bos grunniens not annotated so far (so partial)"	"NA"
"SRP069860"	"Transcriptome data used for gene annotation"	"To optimize the genome annotation, nine tissue and one pool RNA libraries (i.e. heart, liver, spleen, lung, kidney, muscle, fat, ovary, pool.) were constructed using the Illumina mRNA-spleeneq Prep Kit Overall design: We sequenced nine tissues and one pool using illumina Hiseq 2500 platform"	"SRA"	"total"	"GSE77776"	"NA"
"SRP073791"	"RNA-Seq results of six Chinese Sutai piglets from ear tissue based on Illumina HiSeq 2000 platform"	"Purpose: The paired-end sequencing strategy of RNA-Seq improves sequencing efficiency and extends short read lengths for better understanding pig transcriptome. The goals of this study are to identify whether alternative splicing sites or alternative 3'' gene boundary caused by a CNV located in 3'' region of MSRB3 gene and find differential expression genes in ear tissue between QQ and qq genotype piglets for QTL of ear size Methods: Ear tissue mRNA profiles of 6 piglets including 3 QQ and 3 qq genotypes responsible for QTL of ear size were generated by deep sequencing, using Illumina HiSeq 2000. The sequence reads that passed quality filters were analyzed at the transcript isoform level with TopHat followed by Cufflinks. Results: Using an optimized data analysis workflow, we mapped about 93.6-95.3 million 2 x 90 bp paired-end clean reads per sample to the pig genome (Sscrofa 10.2) and identify 19,819-20,136 annotated genes in each sample. Our ranking analysis identified a list of 281 differentially expressed genes with a >1 fold change at a false discovery rate lower than 0.001. But we found no alternative transcripts and differential expression of MSRB3 gene. Conclusions: In our study, the expression levels of MSRB3 gene had no significant difference in the ear tissue between QQ and qq individuals, and no alternative splicing was found for MSRB3 gene between QQ and qq individuals. Overall design: Ear tissue mRNA profiles of 3 QQ and 3 qq genotype piglets were generated by deep sequencing, using Illumina HiSeq 2000."	"SRA"	"total"	"GSE80613"	"NA"
"E-MTAB-3186"	"Early transcriptome and proteome changes in an in vivo model of post-traumatic osteoarthritis"	"Synovium mRNA expression data derived from a pig model of post-traumatic osteoarthritis. Samples were collected from both knees of control pigs (n=6x2=12) and injured knees of pigs that went under unilateral anterior cruciate ligament transection 1, 5, 9 and 14 days after surgery (n=6 per time-point)."	"ArrayExpress"	"partial"	"ERP009122, PRJEB8085 (annotated from AE because info tissues only in AE, not in SRA)"	"NA"
"SRP117778"	"pig liver RNA Raw sequence reads"	"The goal of this project is to identify differentially expression genes related to deposition by RNA-seq in pigs"	"SRA"	"total"	"PRJNA407236, no paper available so far (example of misspelling sample names)"	"NA"
"SRP117198"	"RNA-seq of longuissimus dorsi muscle in an F2 Duroc-Pietrian pig resource population"	"RNA-seq of longuissimus dorsi muscle for 168 F2 pigs from the Michigan State University Duroc x Pietrain Pig Resource Population"	"SRA"	"total"	"NA"	"NA"
"SRP107390"	"Identification of differentially expressed genes in longissimus dorsi muscle between Wei and Yorkshire pigs using RNA-sequencing"	"Intramuscular fat (IMF) content is an important trait closely correlated with meat quality, which is highly variable among swine breeds from diverse genetic backgrounds. In order to elucidate the molecular mechanism underlying porcine meat quality, we adopted RNA-sequencing to detect transcriptome in the longissimus dorsi muscle of Wei pigs (a Chinese indigenous breed) and Yorkshire pigs (a Western lean-type breed) with different IMF content. A total of 717 differentially expressed genes (DEGs) were identified in our study, with 323 up-regulated and 394 down-regulated genes in Wei pigs compared with Yorkshire pigs. GO analysis showed that DEGs significantly related to muscle proliferation and development, lipid storage and catabolic, extracellular matrix structural constituent, and neutral amino acid transmembrane transporter activity. Pathway analysis revealed that DEGs associated with fatty acid metabolism, steroid biosynthesis, glycerophospholipid metabolism, protein digestion and absorption, and amino acid metabolism. Quantitative real time PCR confirmed the differential expression of 11 selected DEGs from both pig breeds. The results provide useful information to investigate the transcriptional profiling in skeletal muscle of different pig breeds with divergent phenotypes, and several DEGs can be taken as functional candidate genes for affecting pork quality. Overall design: Transcriptome sequencing in longissimus dorsi muscle of Wei and Yorkshire pigs"	"SRA"	"total"	"NA"	"NA"
"SRP075519"	"Sus scrofa Genome sequencing"	"Since 10000 BC, the continuous human selection has exerted impressive influence on the pig domestication.we try to identify the allele specific expression in different tissues among breeds by reciprocal cross breeds"	"SRA"	"partial"	"partial because experiments WGS along with RNA-seq"	"NA"
"SRP095839"	"Identification of Genes Related to Growth and Lipid Deposition from Transcriptome Profiles of Pig Muscle Tissue [mRNA]"	"RNA sequences (from RNA-seq) from the tissues of longissimus dorsi muscle of two indigenous Chinese pig breeds (Diannan Small Ear pig [DSP] and Tibetan pig [TP]) and two introduced pig breeds (Landrace [LL] and Yorkshire [YY]) were examined using HiSeq 2000 to identify and compare the differential expression of functional genes related to muscle growth and lipid deposition. We obtained 27.18 G clean data through the RNA-seq and detected that 18,208 genes were positively expressed and 14,633 of them were co-expressed in the muscle tissues of the four samples. In all, 315 DEGs were found between the Chinese pig group and the introduced pig group, 240 of which were enriched with functional annotations from the David database and significantly enriched in 27 Gene Ontology (GO) terms that were mainly associated with muscle fiber contraction, cadmium ion binding, response to organic substance and contractile fiber part. Based on functional annotation, we identified 85 DEGs related to growth traits that were mainly involved in muscle tissue development, muscle system process, regulation of cell development, and growth factor binding, and 27 DEGs related to lipid deposition that were mainly involved in lipid metabolic process and fatty acid biosynthetic process. Overall design: RNA sequences from the tissues of longissimus dorsi muscle of two indigenous Chinese pig breeds (Diannan Small Ear pig [DSP] and Tibetan pig [TP]) and two introduced pig breeds (Landrace [LL] and Yorkshire [YY]) were examined using HiSeq 2000."	"SRA"	"total"	"GSE93021"	"NA"
"SRP095236"	"Transcript expression in the liver of piglets in response to dietary protein"	"Reveal the mechanism of the effect of protein diet on IGF-1 expression in the liver of pig"	"SRA"	"total"	"NA"	"NA"
"SRP006209"	"Comparative analyses of transcriptome during skeletal muscle development between pig breeds differing in muscle growth rate by deep-sequencing"	"Obese and lean pig show breed-specific traits in muscle growth and meat quality. However, the mechanisms underlying remains unclear. Here, we reported the first genome-wide muscle development research from embryonic to 6 months old between Lantang (obese) and Landrace (lean) using Solexa/Illumina's Genome Analyzer. We obtained 4.22±0.9×107 total reads per sample with approximately 5×106 distinct tags. Filtered adaptor tags, empty reads, low quality tags and tags of copy number =1, we obtained 3.84±0.9×107 clean total tags with 1.5±0.5×106 clean distinct tags. Overall design: 20 libraries of longissimus muscle samples were sequenced in Lantang and Landrace at days 35, 49, 63, 77, 91 prenatal and 2, 28, 90, 120, 180 postnatal days."	"SRA"	"total"	"GSE25406"	
"SRP061418"	"Genome-wide analysis of the transcriptional response to porcine reproductive and respiratory syndrome virus infection at the maternal/fetal interface and in the fetus"	"Porcine Reproductive and Respiratory Syndrome Virus (PRRSV) infection of 3rd trimester pregnant pigs can result in transmission of the virus to the fetus and ultimately death in utero or postnatally. Little is known about the immune response to infection at the maternal-fetal interface and in the fetus itself, or the molecular events behind virus transmission and disease progression in the fetus. To investigate these processes, RNA-sequencing of two tissues, uterine endothelium adjacent to the umbilical attachment site and fetal thymus, was performed 21 days post challenge on four groups of fetuses selected from a large PRRSV challenge experiment of pregnant gilts. Overall design: RNA-seq experiment compared gene expression between four different groups of fetuses (n=12 per group): control (CON-uninfected fetuses from mock inoculated gilts), UNINF (uninfected fetuses from PRRSV-inoculated gilts), INF (infected fetuses from PRRSV-inoculated gilts), and meconium-stained fetuses (MEC-meconium-stained fetuses from PRRSV-inoculated gilts) and investigated two tissues: uterine endometrium (with adherent placental tissue) at the site of umbilical attachment and fetal thymus (96 samples in total). Three contrasts were performed for the differential expression (edgeR) and network (WGCNA) analyses: UNINF v CON, INF v UNINF, and MEC v INF."	"SRA"	"partial"		
"ERP006380"	"The establishment of PrV latency in the pig host (RNA-seq data)"	"A 2.5 kb deletion containing a cluster of nine miRNAs in the LAT locus of the pseudorabies virus affects the host response of porcine trigeminal ganglia during established latency."	"SRA"	"partial"	"NA"	"NA"
"ERP009821"	"Porcine Transcriptome and Methylome Map"	"This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact faang@iastate.edu to enquire. The full guidelines can be found at http://www.faang.org/data-share-principle. Pigs (Sus scrofa) provide relevant biomedical models to dissect complex diseases due to their anatomical, genetic, and physiological similarities with humans. Aberrant DNA methylation has been linked to many of these diseases and is associated with gene expression; however, the functional similarities and differences between porcine and human DNA methylation patterns are largely unknown. DNA and RNA was isolated from eight tissue samples (fat, heart, kidney, liver, lung, lymph node, muscle, and spleen) from the adult female Duroc utilized for the pig genome sequencing project. Reduced representation bisulfite sequencing (RRBS) and RNA-seq were performed on an Illumina HiSeq2000. RRBS reads were aligned using BSseeker2, and only sites with a minimum depth of 10 reads were used for methylation analysis. RNA-seq reads were aligned using Tophat, and expression analysis was performed using Cufflinks. In addition, SNP calling was performed using GATK for targeted control and whole genome sequencing reads for CpG site validation and allelic expression analysis, respectively. These results provide transcriptional and DNA methylation datasets for the biomedical community that are directly relatable to current genomic resources. In addition, the correlation between TSS CpG density and expression suggests increased mutation rates at CpG sites play a significant role in adaptive evolution by reducing CpG density at TSS over time, resulting in higher methylation levels in these regions and more permanent changes to lower gene expression. This is proposed to occur predominantly through deamination of 5-methylcytosine to thymidine, resulting in the replacement of CpG with TpG sites in these regions, as indicated by the increased TSS TpG density observed in non-expressed genes, resulting in a negative correlation between expression and TSS TpG density. This study provides baseline methylation and gene transcription profiles for a healthy adult pig, reports similar patterns to those observed in humans, and supports future porcine studies related to human disease and development. Additionally, the observed reduced CpG and increased TpG density at TSS of lowly expressed genes suggests DNA methylation plays a significant role in adaptive evolution through more permanent changes to lower gene expression."	"SRA"	"partial"	"NA"	"NA"
"ERP010826"	"Regional differences in left ventricular shear stress contribute to heterogenity of the endocardial transcriptome"	"The role of shear stress, the frictional force of blood flow, on the endothelium has been well documented. Differences in shear stress can have profound effects on endothelial and blood vessel biology. Endothelial cells (ECs), termed endocardial ECs, line the heart chambers and are exposed to complex shear stress patterns. While it has been demonstrated that shear stress is important for heart development, little has been shown on the role of shear stress on adult ECs. 4D-MRI studies demonstrate regional differences in blood residence time. We sought to determine the effect of regional differences in endocardial shear stress on the endocardial transcriptome using RNA sequencing (RNA-seq) on 3 different regions (apex, mid-ventricle, outflow tract) from 8 adult pigs, for a total of 24 RNA-seq assays."	"SRA"	"total"	"NA"	"NA"
"ERP013022"	"RNA-seq datasets from hippocampus samples collected from 4 week old control and PRRSV infected piglets."	"Environmental insults during sensitive periods can affect hippocampal development and function, but little is known about peripheral infection, especially in humans and other animals whose brain is gyrencephalic and experiences major perinatal growth. A previously published study reported increased microglial cell activity and reduced hippocampal-dependent learning and memory in neonatal piglets infected with porcine reproductive and respiratory syndrome virus (PRRSV), a virus that induces interstitial pneumonia. To investigate this further, we assessed gene expression patterns in hippocampal tissue obtained from control and PRRSV infected piglets at 4 weeks of age using RNA-seq."	"SRA"	"partial"	"NA"	"NA"
"ERP013761"	"Post-weaning blood transcriptomic differences between Yorkshire pigs divergently selected for residual feed intake"	"Global gene expression profiles of peripheral blood of 35 to 42 day-old Yorkshire pigs with extremely low (more efficient) and high RFI (less efficient) values from two Iowa State University lines (the low RFI line, n = 15,  and the high RFI line, n =16) that were divergently selected for RFI during the grow-finish phase were determined  by Illumina RNA-seq (100 bp, paired-end) on the Hiseq2000 platform to explore the transcription biomarkers for feed efficiency in pigs."	"SRA"	"total"	"NA"	"NA"
"ERP013913"	"RNA-seq of synovial membranes from a preclinical model of post-traumatic knee osteoarthritis to evaluate the effects of corticosteroid treatment"	"Yorkshire pigs received untreated unilateral ACL transection through a medial arthrotomy (INJ, n=6), transection with immediate injection of 20mg triamcinolone acetonide (TRI, n=6) or no surgery (CON, n=6). Synovial membranes were harvested two weeks after the injury in the lateral knee joint compartment. The whole biopsy was homogenised for RNA extraction. The objective of the experiment was to test if intraarticular corticosteroid injection mitigates injury-induced synovitis and collagen degradation after anterior cruciate ligament transection and to characterize the synovial response using the described perturbations in combination with a functional genomics approach."	"SRA"	"partial"	"E-MTAB-4294, PRJEB12435"	
"ERP021264"	"Wageningen University & Research Animal Breeding and Genomics FAANG data from three boars."	"This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact faang@iastate.edu to enquire. The full guidelines can be found at http://www.faang.org/data-share-principle"	"SRA"	"partial"	"PRJEB19268"	"FAANG"
"SRP046752"	"RNA-Sequencing of lean, intermediate, and obese pigs"	"We sequenced mRNA from subcuteneous adipose tissue of 36 pigs (12 Low, 12 Mean and 12 High) to investigate expression profiling of obesity (porcine model) Overall design: Examination of mRNA levels in different obese states in a porcine model for human obesity"	"SRA"	"total"	"GSE61271, PRJNA260632"	
"SRP018524"	"RNA deep sequencing reveals novel candidate genes and polymorphisms in boar testis and liver tissues with divergent androstenone levels."	"Boar taint described as an offensive odor that is released while cooking pork. Androstenone, a steroid mainly synthesized in testis and metabolized in liver is one of the major causes of boar taint. The aim of the present study was to investigate transcriptome differences in boar testis and liver tissues with divergent androstenone levels using RNA deep sequencing (RNA-Seq). For this purpose, mRNA expression from testis and liver tissue samples from 10 boars, 5 samples each for high and low androstenone levels were quantified and analyzed. The results shows that in testis samples 46 genes were differentially regulated whereas 25 genes showed differential expression in the liver. Digital gene expression analysis identified genes in keratin family, desmoplakin and Interferon-induced protein family for as candidate genes for low androstenone testis sample and genes in flavin monooxygenease family, cytochrome P450 family and hydroxysteroid dehydrogenase family as candidate genes for low androstenone liver sample. Additionally, the results revealed that mutations in genes IRG6, DSP, IFIT2 were specific for low androstenone testis tissues and mutations in genes FMO5, HIST1H4K and TSKU were specific for low androstenone liver samples. Overall design: Testis and liver mRNA profile of high and low androstenone level were generated by RNA deep sequencing, in five animal for each group, Ilumina HiSeq 2000"	"SRA"	"total"	"GSE44171, PRJNA188941"	
